Algorithm,SAT clauses,Number of variables,Number of clauses,Quantum annealing iterations,Annealing access time,Circuit search iterations,Problem solutions,Total iterations,Number of states superposed,Number of neighbours,Number of variables annealing,Variables,Mean distance,Standar deviation distance,Number of ancilla qubits,Number of states,Initial state,Grover full states,Grover full solutions,Grover full iterations,Solution obtained,Seed,Example,Annealing solution,Mean distance from annealing solutions,Distance calculated from annealing solution,Minimum distance from annealing solution,Minimum states from annealing solution,Minimum distance from 0 solution,Minimum states from 0 solution,id
Adiabatic + circuit search,"[[5, 6, -8], [-3, -8, -11], [7, -9, -13], [-4, 7, -9], [2, -6, -13], [-3, -4, -11], [2, -8, 9], [5, 8, 13], [4, 10, -12], [-1, -2, 3], [-3, -5, -6], [-1, -4, 6], [2, 11, -12], [3, -10, 13], [9, -10, -12], [-5, -8, -13], [-5, -6, 13], [-2, -7, 13], [4, -12, -13], [4, -6, -8], [-2, -4, 12], [-3, -9, 11], [-1, 9, -10], [2, -4, -9], [3, 7, -13], [-5, -7, -10], [1, 10, 12], [1, -6, 12], [2, 6, 11], [6, -11, -12], [5, 7, 12], [1, 6, 9], [2, 3, 11], [3, 5, 7], [-6, -8, -9], [3, 5, -11], [3, -5, 9], [3, -9, 12], [-2, -11, -13], [1, -5, 9], [-5, 12, -13], [2, 3, -11], [-6, 10, 11], [-5, 8, -9], [-2, 9, -11], [1, 2, 10], [1, -3, 12], [6, -7, 12], [-3, 4, -6], [-3, 4, 12], [-3, -4, -6], [5, 6, 7], [3, -5, -6], [5, -7, 12], [-1, 3, -7], [-2, 3, 10], [5, -6, -10], [-1, -9, 13], [-1, 2, 12]]",13,59,0,45554.31,69,"[{1: False, -1: True, 2: True, -2: False, 3: False, -3: True, 4: True, -4: False, 5: False, -5: True, 6: False, -6: True, 7: True, -7: False, 8: False, -8: True, 9: True, -9: False, 10: True, -10: False, 11: False, -11: True, 12: True, -12: False, 13: True, -13: False}]",69,7814,9,35,"[x_1, x_10, x_11, x_12, x_13, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_10_12, y_1_12, y_1_2, y_1_3, y_1_6, y_1_9, y_2_11, y_2_13, y_2_9, y_3_10, y_3_11, y_3_9, y_4_12, y_4_7, y_5_12, y_5_6, y_5_7, y_5_8, y_6_11, y_6_12, y_6_8, y_7_13]",5.92,2.6444911293731606,4.0,7814,0100010010111,8192,1,71,0,stochastic,3_sat_13_variables_4.55_density_example_9,0100010010111,5.92,6,9,['1101101001010'],7,['1101101001010'],Circuit_Adiabatic_stochastic_3_sat_13_variables_4.55_density_example_9
Adiabatic + circuit search,"[[6, 9, 13], [8, -9, 14], [-5, -9, 14], [-3, -4, 11], [-10, -12, -14], [5, -6, -7], [1, -7, -11], [6, -10, -11], [5, 12, -14], [-1, -7, 9], [-7, 11, -12], [-1, 8, -9], [4, -11, -14], [-2, 5, -7], [-2, 5, 9], [-3, 11, 12], [2, -10, -11], [-9, -10, -14], [3, 10, -12], [-6, -8, 12], [-1, -2, 6], [1, -6, 10], [-5, 9, -11], [-6, -8, 11], [-2, 4, -14], [8, -11, -12], [-3, 5, 14], [-10, 12, 13], [2, -8, -14], [5, 8, -13], [4, 8, -10], [9, 11, 14], [2, 5, 14], [9, -11, 12], [-9, 11, -13], [1, 2, 7], [-2, -9, 11], [1, -8, -10], [2, 7, 14], [8, 11, -13], [5, -7, -8], [-2, -5, -7], [-7, 9, -13], [1, -11, 12], [-1, -5, 13], [3, -11, 14], [-1, -3, -7], [-5, 10, -13], [-7, 10, 14], [1, 6, 8], [-4, 10, -12], [-2, 7, 8], [3, -7, 12], [-3, 6, -14], [-7, 8, 9], [1, -9, 10]]",14,56,0,47558.83,95,"[{1: True, -1: False, 2: False, -2: True, 3: True, -3: False, 4: False, -4: True, 5: False, -5: True, 6: True, -6: False, 7: False, -7: True, 8: False, -8: True, 9: False, -9: True, 10: False, -10: True, 11: False, -11: True, 12: True, -12: False, 13: False, -13: True, 14: True, -14: False}]",95,14913,9,37,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_10_11, y_10_12, y_10_14, y_11_12, y_11_14, y_1_6, y_1_7, y_1_9, y_2_14, y_3_11, y_3_12, y_3_14, y_5_13, y_5_14, y_5_7, y_5_9, y_6_8, y_7_8, y_8_10, y_8_11, y_9_11, y_9_13, y_9_14]",6.5,1.862712261648849,4.0,14913,11000010011010,16384,1,100,0,stochastic,3_sat_14_variables_4.0_density_example_0,11000010011010,6.5,7,9,['10100000100101'],5,['10100000100101'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_0
Adiabatic + circuit search,"[[1, -10, 11], [-1, -3, 5], [-2, -7, 12], [-5, -10, -11], [4, -6, -9], [-6, 7, -12], [1, -4, -9], [-2, -7, 13], [-1, 7, -11], [1, -6, -12], [-7, 8, -9], [2, -6, 12], [-1, -6, 9], [1, -3, -10], [6, 8, 10], [-2, -3, 9], [-1, 7, 14], [-2, -3, 5], [-9, -11, 14], [5, 10, -14], [2, 12, -14], [-6, -8, -14], [-6, 8, -13], [8, -9, 14], [1, 2, -13], [-4, -5, 12], [2, 5, -9], [5, -10, -13], [2, -6, -12], [-1, -10, -13], [-6, -7, -10], [8, -10, 13], [9, 10, 12], [2, -9, 11], [1, -5, 13], [2, -8, 10], [1, -3, -8], [-4, -5, -6], [-1, -2, -3], [-2, -12, 14], [1, 12, 14], [-7, 8, 9], [-1, 2, 6], [-4, -5, 10], [-1, -5, -8], [-1, -5, -6], [-1, 13, -14], [1, 2, -5], [1, -8, 9], [4, 10, -12], [7, -11, -14], [2, 13, -14], [1, 9, -13], [-1, -2, 11], [1, -4, -14], [2, 6, -12]]",14,56,0,46567.07,46,"[{1: False, -1: True, 2: True, -2: False, 3: False, -3: True, 4: False, -4: True, 5: True, -5: False, 6: False, -6: True, 7: False, -7: True, 8: True, -8: False, 9: True, -9: False, 10: False, -10: True, 11: False, -11: True, 12: False, -12: True, 13: True, -13: False, 14: True, -14: False}]",46,3473,5,36,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_10_12, y_11_14, y_1_11, y_1_13, y_1_14, y_1_2, y_1_3, y_1_5, y_1_6, y_1_9, y_2_13, y_2_3, y_2_7, y_2_9, y_4_5, y_4_6, y_5_10, y_6_12, y_6_7, y_6_8, y_8_10, y_8_9]",4.65625,1.894122913884742,4.0,3473,11101100011011,16384,1,100,1,stochastic,3_sat_14_variables_4.0_density_example_1,11101100011011,4.65625,5,5,['11000110010010'],6,['11000110010010'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_1
Adiabatic + circuit search,"[[-1, -3, -10], [-1, -12, 13], [3, -8, 14], [-1, 3, 14], [-2, 10, -14], [6, 11, 13], [-4, 12, 14], [-6, -9, -14], [-1, -6, 10], [11, -12, -14], [1, -13, 14], [6, -8, -10], [-10, 12, 14], [3, 4, -11], [-4, 5, 7], [3, -5, -14], [6, -7, 12], [1, 3, -5], [8, -9, 12], [-6, 10, -13], [-3, 5, 8], [-1, 3, 6], [-1, 5, 8], [-5, -8, 13], [4, -8, -13], [-1, 6, -13], [-10, -12, 14], [7, -8, 10], [9, 12, 14], [10, 12, 14], [-1, -8, 13], [3, -7, 9], [3, -4, -13], [7, 8, 13], [-4, -7, 10], [-3, -7, -11], [-3, -6, 10], [7, -9, -10], [-5, 10, 11], [2, -9, 11], [7, -13, 14], [1, -6, -14], [-9, 11, -14], [1, -6, -8], [1, -2, 9], [-2, -3, 10], [6, -10, 13], [-1, -2, -7], [6, -9, 13], [1, 8, -14], [-4, -11, -12], [4, -5, -7], [2, 5, 7], [-5, 9, 12], [3, -8, 12], [2, -8, 14]]",14,56,0,48537.79,78,"[{1: False, -1: True, 2: True, -2: False, 3: False, -3: True, 4: False, -4: True, 5: False, -5: True, 6: True, -6: False, 7: True, -7: False, 8: False, -8: True, 9: True, -9: False, 10: False, -10: True, 11: False, -11: True, 12: True, -12: False, 13: False, -13: True, 14: False, -14: True}]",78,9908,7,38,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_12_14, y_1_13, y_1_3, y_1_6, y_1_8, y_2_10, y_2_7, y_2_9, y_3_10, y_3_4, y_3_5, y_3_7, y_3_8, y_4_11, y_5_10, y_6_10, y_6_13, y_6_7, y_7_10, y_7_13, y_8_13, y_8_14, y_9_12, y_9_14]",6.0625,2.313181024393228,4.0,9908,00101101101000,16384,1,100,1,stochastic,3_sat_14_variables_4.0_density_example_2,00101101101000,6.0625,7,3,['00100101100010'],5,['00100101100010'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_2
Adiabatic + circuit search,"[[-2, 13, 14], [-8, -9, 10], [-8, -13, 14], [5, 8, -14], [-1, -4, -9], [4, 12, -14], [-5, 9, 12], [-2, -8, 12], [-3, 6, 7], [-6, -10, -11], [-2, 4, -5], [-9, 11, -12], [1, -11, -12], [6, -10, 14], [-4, -5, 7], [6, -10, -13], [-2, -7, 11], [1, -4, 8], [-4, -9, 14], [-4, -8, 11], [1, -9, -11], [6, 8, -9], [-1, 5, 13], [2, -3, 13], [5, -9, 14], [5, 8, 10], [2, 11, -14], [-3, 8, -14], [5, 7, -11], [3, -5, 12], [-5, -6, -10], [-1, 3, -11], [1, 2, -11], [-5, -9, 11], [5, 6, -7], [-5, 9, -11], [-7, 9, 11], [-1, 3, -14], [8, 9, -10], [5, 12, -13], [3, 4, -12], [5, 8, 12], [-5, -8, 10], [-2, 5, 7], [1, 3, 12], [-2, -11, -12], [2, -10, 13], [-1, 4, 9], [4, -6, 13], [1, -3, -11], [-3, 4, -5], [-2, -13, 14], [-6, -10, -13], [1, 11, 13], [-2, -6, -11], [-1, 5, 8]]",14,56,0,45559.91,63,"[{1: True, -1: False, 2: False, -2: True, 3: True, -3: False, 4: True, -4: False, 5: False, -5: True, 6: True, -6: False, 7: True, -7: False, 8: True, -8: False, 9: False, -9: True, 10: False, -10: True, 11: True, -11: False, 12: True, -12: False, 13: True, -13: False, 14: True, -14: False}]",63,6476,6,35,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_11, y_1_3, y_1_5, y_2_11, y_2_13, y_2_8, y_3_12, y_4_12, y_4_5, y_4_6, y_4_8, y_4_9, y_5_12, y_5_7, y_5_8, y_5_9, y_6_10, y_6_7, y_6_8, y_8_14, y_9_11]",4.764705882352941,1.349721038055794,4.0,6476,00100001111001,16384,1,100,0,stochastic,3_sat_14_variables_4.0_density_example_3,00100001111001,4.764705882352941,5,6,['11110011101101'],10,['11110011101101'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_3
Adiabatic + circuit search,"[[-6, 7, 10], [2, 7, -13], [2, 9, 10], [5, 7, -11], [-4, 5, 6], [-1, 7, -10], [1, 6, 13], [2, 8, 14], [-5, 13, 14], [-5, 6, -11], [-8, -13, 14], [-2, 3, 13], [-2, -3, -6], [-8, -13, -14], [-3, -10, -13], [1, -2, -11], [1, -10, -14], [-5, 6, -12], [-5, -6, -9], [1, 2, -12], [1, 2, 10], [3, -11, 13], [2, -6, -14], [-4, 7, -11], [-4, -7, -12], [-1, -10, -14], [2, -10, 13], [-10, -13, -14], [1, -3, 14], [6, -9, 11], [3, 9, -11], [-4, 7, 13], [-4, -9, -12], [-5, 10, 12], [-2, -7, -12], [3, -9, 12], [-1, 2, -5], [-2, -4, 7], [-2, -6, -13], [7, 8, -12], [-3, 5, -7], [9, 11, 12], [9, -12, 14], [-7, -8, 9], [3, 8, -10], [4, -9, -10], [-2, 3, 10], [1, 2, -8], [5, 7, 13], [3, -4, 12], [1, -7, -12], [5, -8, 11], [-2, -8, -12], [9, -11, 14], [-1, -3, -6], [-2, 7, 14]]",14,56,0,48535.99,63,"[{1: True, -1: False, 2: False, -2: True, 3: False, -3: True, 4: False, -4: True, 5: False, -5: True, 6: False, -6: True, 7: True, -7: False, 8: False, -8: True, 9: True, -9: False, 10: False, -10: True, 11: True, -11: False, 12: True, -12: False, 13: True, -13: False, 14: True, -14: False}]",63,6476,6,38,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_10_13, y_1_2, y_1_3, y_1_6, y_2_10, y_2_13, y_2_6, y_2_7, y_2_8, y_3_10, y_3_13, y_4_12, y_4_7, y_4_9, y_5_11, y_5_12, y_5_13, y_5_6, y_5_7, y_7_10, y_7_12, y_7_8, y_9_11, y_9_12]",5.181818181818182,1.5300029708824394,4.0,6476,11100101100001,16384,1,100,1,stochastic,3_sat_14_variables_4.0_density_example_4,11100101100001,5.181818181818182,6,2,['11110101000001'],7,['11110101000001'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_4
Adiabatic + circuit search,"[[-7, 12, 14], [-5, -6, -11], [9, 11, 14], [9, 12, -14], [-4, 5, -8], [-3, -7, 14], [-3, 5, -8], [4, -5, -8], [-6, -7, -8], [-4, 9, -12], [-1, -2, -11], [-3, -6, -8], [4, 8, 10], [-3, -7, 12], [-9, -13, -14], [10, 11, -14], [-4, -6, 8], [-1, 4, -6], [-2, 8, -9], [9, -10, -12], [-2, -3, 13], [3, -7, 11], [2, -8, 10], [-3, 6, -12], [-5, 11, -13], [-3, -4, -12], [2, -13, 14], [2, -6, 10], [-2, -6, -14], [-4, 9, -10], [7, -10, -14], [-2, -6, 9], [-5, 7, 13], [-1, -5, -9], [7, -11, -14], [-4, 8, -11], [2, -6, -13], [-4, 12, 13], [-4, 10, 11], [-8, 9, -11], [-3, 4, -6], [5, -9, 14], [-5, 12, -13], [3, 6, 8], [-4, -7, 13], [-1, -11, -13], [1, -2, -9], [-7, 9, 13], [1, -10, 11], [3, 5, 11], [3, -4, -6], [4, 6, -12], [1, -11, 14], [2, -3, -13], [1, 2, -10], [2, -9, 13]]",14,56,0,46547.07,78,"[{1: True, -1: False, 2: False, -2: True, 3: True, -3: False, 4: False, -4: True, 5: False, -5: True, 6: False, -6: True, 7: False, -7: True, 8: False, -8: True, 9: False, -9: True, 10: True, -10: False, 11: True, -11: False, 12: False, -12: True, 13: False, -13: True, 14: False, -14: True}]",78,9908,7,36,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_11_14, y_1_11, y_1_5, y_2_10, y_2_13, y_2_6, y_2_9, y_3_12, y_3_5, y_3_7, y_4_10, y_4_12, y_4_6, y_4_8, y_5_11, y_5_13, y_6_8, y_7_13, y_7_14, y_8_9, y_9_12, y_9_14]",6.0,1.7656860023298393,4.0,9908,11011101100000,16384,1,100,0,stochastic,3_sat_14_variables_4.0_density_example_5,11011101100000,6.0,6,7,['00011000000101'],4,['00011000000101'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_5
Adiabatic + circuit search,"[[-7, 8, 9], [-7, -8, -9], [-1, 9, -10], [-6, -9, -13], [-6, -10, -11], [-1, -3, 14], [4, 7, -8], [-11, -13, -14], [-9, -12, -13], [3, 9, 10], [2, -5, 13], [-2, 9, 12], [-1, 4, 8], [3, 11, 13], [-1, -2, -12], [3, -4, 7], [3, 6, 9], [-2, 9, -12], [-2, 3, 10], [5, -9, -12], [-1, 6, -11], [2, -8, -12], [-6, 7, -13], [2, -3, 12], [-7, 9, 12], [1, -7, -9], [-1, 6, 8], [8, -9, -13], [4, 10, 14], [-6, 7, 11], [-3, 8, 11], [2, 6, -13], [1, 7, -10], [6, -12, 14], [8, -10, -11], [3, 6, -11], [-1, 4, 13], [-7, 10, -14], [-7, -9, 14], [2, 4, -7], [-6, 10, 12], [-7, 9, -13], [1, -6, 7], [1, 2, 3], [-1, -4, -11], [3, 8, -9], [-4, 9, 14], [-6, 7, -10], [7, 9, 11], [3, -7, 9], [-4, 6, 10], [-1, -4, 5], [-7, -10, 12], [6, -8, 11], [3, -6, 7], [1, 7, -9]]",14,56,0,46543.27,46,"[{1: False, -1: True, 2: False, -2: True, 3: True, -3: False, 4: False, -4: True, 5: False, -5: True, 6: False, -6: True, 7: False, -7: True, 8: False, -8: True, 9: False, -9: True, 10: False, -10: True, 11: True, -11: False, 12: True, -12: False, 13: False, -13: True, 14: True, -14: False}]",46,3473,5,36,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_11_13, y_1_3, y_1_4, y_1_6, y_1_9, y_2_12, y_2_13, y_2_3, y_3_11, y_3_9, y_4_14, y_4_7, y_6_10, y_6_11, y_6_12, y_6_13, y_6_7, y_7_10, y_7_9, y_8_11, y_9_12, y_9_13]",4.064516129032258,2.032002032003048,4.0,3473,10110011101100,16384,1,100,1,stochastic,3_sat_14_variables_4.0_density_example_6,10110011101100,4.064516129032258,5,4,['10110000000100'],4,['10110000000100'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_6
Adiabatic + circuit search,"[[-5, 6, 9], [2, 6, 14], [5, -7, -9], [-4, 12, -13], [-4, -9, 11], [-6, -8, 13], [-3, 11, -13], [3, -6, 9], [1, 4, 12], [-3, 11, 14], [-3, 9, 11], [1, -11, -12], [1, -3, -12], [2, 11, 14], [6, -11, -13], [1, -5, 11], [9, -11, 12], [5, 9, 10], [3, 7, -12], [3, 9, -10], [3, -5, -6], [4, -9, -12], [1, 11, 14], [-3, -6, 12], [4, 6, 13], [9, -11, -12], [-5, 7, 12], [4, 10, -13], [-4, -8, -12], [8, 10, 14], [1, 4, -14], [-3, -13, 14], [2, -4, 14], [1, 4, 7], [-5, -6, -8], [-3, 10, -12], [-8, -13, 14], [-4, 7, 8], [6, -9, 11], [2, -10, 11], [6, 10, 12], [-1, 13, -14], [-2, 7, 12], [3, -5, 7], [-5, -11, 13], [3, -7, -11], [5, -13, -14], [-1, -7, 11], [-6, 7, -12], [9, 11, -12], [-5, 10, -14], [2, 13, 14], [-11, -12, -14], [-9, -11, 13], [2, -4, 10], [-1, 3, -4]]",14,56,0,45528.11,78,"[{1: True, -1: False, 2: False, -2: True, 3: False, -3: True, 4: False, -4: True, 5: False, -5: True, 6: True, -6: False, 7: False, -7: True, 8: False, -8: True, 9: True, -9: False, 10: True, -10: False, 11: True, -11: False, 12: False, -12: True, 13: True, -13: False, 14: False, -14: True}]",78,9908,7,35,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_10_14, y_11_13, y_11_14, y_13_14, y_1_11, y_1_4, y_2_10, y_2_14, y_3_11, y_3_12, y_3_5, y_3_9, y_4_12, y_4_13, y_4_7, y_5_6, y_5_9, y_6_12, y_6_13, y_7_12, y_9_11]",6.34375,2.3909692325431005,4.0,9908,10010100100001,16384,1,100,1,stochastic,3_sat_14_variables_4.0_density_example_7,10010100100001,6.34375,7,3,['01011100100001'],6,['01011100100001'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_7
Adiabatic + circuit search,"[[-8, 12, -13], [4, -9, 11], [9, -12, 13], [6, 8, 13], [1, 6, 11], [4, 5, -7], [1, -4, -7], [-3, -9, 13], [-2, 8, -13], [6, -9, -11], [4, 8, -11], [4, 9, 13], [-1, 8, -10], [4, 6, -12], [1, -4, -13], [1, -3, -6], [6, -8, -11], [-2, -11, -12], [-2, -6, -12], [3, 10, 14], [3, 4, -10], [6, 10, 13], [1, -2, -7], [-3, -8, 13], [-5, 6, 8], [1, -3, 13], [-3, 8, -10], [-11, -12, -13], [-1, 2, -9], [-1, -4, 9], [6, 7, 14], [5, -10, 11], [5, -12, 14], [-7, -8, 10], [-1, -6, 9], [-3, -5, 10], [-8, 9, -12], [-5, 11, 12], [3, 5, -9], [-3, 5, 8], [-3, 7, 10], [8, -10, 14], [2, -5, 12], [-6, -9, 13], [-5, -6, 14], [-1, -2, -4], [2, -4, -11], [7, 9, 12], [-2, -6, -10], [7, -11, -13], [7, 11, 13], [1, -2, 13], [7, -12, -13], [-1, -5, 11], [2, -9, -14], [-2, 3, -13]]",14,56,0,48544.39,89,"[{1: False, -1: True, 2: False, -2: True, 3: False, -3: True, 4: False, -4: True, 5: True, -5: False, 6: True, -6: False, 7: True, -7: False, 8: False, -8: True, 9: False, -9: True, 10: False, -10: True, 11: False, -11: True, 12: True, -12: False, 13: True, -13: False, 14: True, -14: False}]",89,12911,8,38,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_12_13, y_1_2, y_1_4, y_1_6, y_2_12, y_2_6, y_2_9, y_3_10, y_3_13, y_3_5, y_4_11, y_4_7, y_5_11, y_5_12, y_6_12, y_6_13, y_6_14, y_6_8, y_6_9, y_7_11, y_8_10, y_8_13, y_9_12, y_9_13]",7.909090909090909,2.2130809458145158,4.0,12911,10100000111000,16384,1,100,1,stochastic,3_sat_14_variables_4.0_density_example_8,10100000111000,7.909090909090909,8,3,['11100001110000'],6,['11100001110000'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_8
Adiabatic + circuit search,"[[6, 9, 14], [-1, -3, 8], [8, -12, -13], [5, -9, -12], [5, 11, -13], [3, 7, -9], [8, -11, 13], [3, -13, -14], [7, -10, -12], [-7, -10, -11], [5, 8, -10], [-6, 8, 10], [7, -10, -14], [6, -8, -10], [-4, -5, -8], [7, 12, 14], [2, -5, -13], [-4, -6, 9], [-2, 12, 14], [-2, -6, 11], [2, 13, -14], [7, -8, 13], [7, -10, 12], [-1, -2, -8], [-8, 10, -13], [-2, 3, -4], [-2, -5, -9], [-4, 5, 10], [2, -8, -14], [-5, 12, 13], [-3, -7, -11], [-2, -5, 9], [-2, 7, 8], [6, 10, 13], [1, 3, -11], [-5, -7, 12], [-3, -6, 7], [5, -8, 11], [11, 12, 13], [1, -7, -14], [-3, 11, -14], [1, -9, 14], [-6, -7, 13], [7, 12, -14], [-1, 4, 13], [7, 8, -13], [5, -7, -12], [-4, 6, 13], [4, 9, -11], [9, 10, 13], [6, -11, -12], [5, -7, -8], [-5, -13, -14], [3, 7, -12], [3, -7, -12], [-11, -12, 13]]",14,56,0,45537.31,89,"[{1: True, -1: False, 2: False, -2: True, 3: False, -3: True, 4: False, -4: True, 5: False, -5: True, 6: False, -6: True, 7: True, -7: False, 8: False, -8: True, 9: True, -9: False, 10: False, -10: True, 11: True, -11: False, 12: False, -12: True, 13: True, -13: False, 14: False, -14: True}]",89,12911,8,35,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_10_13, y_11_12, y_13_14, y_1_14, y_1_3, y_2_14, y_2_3, y_2_8, y_3_11, y_3_7, y_4_13, y_4_5, y_4_9, y_5_12, y_5_13, y_5_8, y_6_11, y_6_13, y_6_9, y_7_10, y_8_13]",7.32258064516129,2.914184811963642,4.0,12911,11010101000011,16384,1,100,1,stochastic,3_sat_14_variables_4.0_density_example_9,11010101000011,7.32258064516129,8,2,['01010101000001'],5,['01010101000001'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.0_density_example_9
Adiabatic + circuit search,"[[-5, 9, -13], [-3, -4, 9], [4, -5, 10], [-2, -6, -13], [1, -4, -13], [-5, 6, 8], [7, -8, -10], [2, 13, 14], [-10, 11, 12], [-8, 9, -10], [5, -6, 12], [-10, -12, -14], [1, -2, 4], [2, -4, 5], [3, 5, -11], [8, 10, 11], [-4, 12, -13], [3, -4, 6], [-4, 8, 9], [-3, -10, 13], [-3, 7, 13], [-9, -10, -11], [3, 6, -10], [-5, 9, -10], [1, 6, -11], [1, -3, -12], [-6, -7, 14], [-4, -5, 8], [-4, 6, 13], [1, -3, 4], [-8, -12, -14], [4, 7, 12], [2, -5, -7], [-2, 5, 11], [2, 3, 5], [2, -6, -13], [1, -5, 6], [-3, 4, 12], [-1, -3, -9], [12, 13, 14], [-9, 12, -13], [-4, 7, 9], [2, 3, -12], [5, 8, -12], [-3, 12, 14], [-5, -8, 12], [-4, 7, 11], [3, 5, 10], [-5, 7, -11], [-1, -7, 8], [-6, 11, -12], [-5, -11, -14], [1, -5, -7], [3, -11, 14], [-1, -9, -11], [2, 7, 9], [-4, 9, -12], [7, 8, 10], [-7, -12, 14], [-1, 2, -10]]",14,60,0,52498.63,89,"[{1: True, -1: False, 2: True, -2: False, 3: True, -3: False, 4: False, -4: True, 5: False, -5: True, 6: False, -6: True, 7: False, -7: True, 8: True, -8: False, 9: False, -9: True, 10: False, -10: True, 11: True, -11: False, 12: True, -12: False, 13: True, -13: False, 14: False, -14: True}]",89,12911,8,42,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_10_11, y_12_13, y_12_14, y_13_14, y_1_2, y_1_3, y_1_4, y_1_7, y_1_9, y_2_5, y_2_7, y_3_10, y_3_11, y_3_12, y_3_13, y_3_4, y_4_12, y_4_13, y_4_5, y_4_7, y_4_9, y_5_11, y_5_6, y_5_7, y_5_9, y_6_11, y_7_14, y_8_10]",6.470588235294118,3.3233361671455084,4.0,12911,10010111101110,16384,1,100,0,stochastic,3_sat_14_variables_4.3_density_example_0,10010111101110,6.470588235294118,7,8,['01110010000111'],7,['01110010000111'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.3_density_example_0
Adiabatic + circuit search,"[[4, 7, -10], [-1, -5, 11], [1, -3, -13], [2, 8, -9], [5, -8, -10], [2, -6, 8], [-9, -10, 14], [-7, 9, 13], [3, 10, 11], [-3, -8, -14], [6, 11, 12], [-1, -10, -12], [-9, 10, 11], [-1, -4, -11], [-3, -10, -11], [5, 8, -9], [7, 9, -10], [4, -10, 14], [-5, -11, 12], [3, 9, 13], [-2, -5, -13], [-4, -8, 14], [2, 8, 14], [-1, 9, -10], [-4, -6, 10], [1, 9, -13], [-7, 8, 9], [-2, -6, -12], [-3, 4, -8], [-4, 7, 13], [2, 5, 8], [4, -7, 9], [-1, 7, -13], [-8, -9, 11], [5, -6, 10], [6, -9, -10], [1, -12, -13], [-4, -5, 12], [7, 13, 14], [2, 3, -7], [-4, 8, -10], [9, 11, -12], [1, 5, -8], [1, 3, -8], [3, -6, -14], [7, -12, 13], [1, 4, -8], [-2, 6, -14], [-4, -6, -11], [1, 6, 14], [3, -8, 13], [3, 6, -14], [1, -8, -14], [-2, -9, -10], [-6, -10, 11], [-8, -12, 13], [-8, 10, -13], [6, 7, 8], [-5, -9, 13], [-4, -6, -8]]",14,60,0,47535.23,99,"[{1: False, -1: True, 2: True, -2: False, 3: True, -3: False, 4: False, -4: True, 5: True, -5: False, 6: True, -6: False, 7: False, -7: True, 8: False, -8: True, 9: False, -9: True, 10: False, -10: True, 11: False, -11: True, 12: False, -12: True, 13: False, -13: True, 14: True, -14: False}]",99,15914,10,37,"[x_1, x_10, x_11, x_12, x_13, x_14, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_11_12, y_1_10, y_1_11, y_1_13, y_1_14, y_2_3, y_2_5, y_2_6, y_2_8, y_3_8, y_4_10, y_4_6, y_4_8, y_5_12, y_5_8, y_6_10, y_6_8, y_7_13, y_7_9, y_8_13, y_8_9, y_9_10, y_9_13]",5.03030303030303,2.0075614636426526,4.0,15914,00110111000011,16384,1,100,0,stochastic,3_sat_14_variables_4.3_density_example_1,00110111000011,5.03030303030303,6,10,['10000000110110'],5,['10000000110110'],Circuit_Adiabatic_stochastic_3_sat_14_variables_4.3_density_example_1
